0	1	0.91
0	2	26.5
0	3	0.77
0	4	112.714
0	5	3.673
0	6	1.351
0	7	3.597
0	8	8.607
0	9	3.815
1	0	1.098
1	2	29.105
1	3	0.846
1	4	123.794
1	5	4.034
1	6	1.483
1	7	3.95
1	8	9.454
1	9	4.19
2	0	0.038
2	1	0.034
2	3	0.029
2	4	4.253
2	5	0.139
2	6	0.051
2	7	0.136
2	8	0.325
2	9	0.144
3	0	1.298
3	1	1.182
3	2	34.403
3	4	146.33
3	5	4.768
3	6	1.753
3	7	4.669
3	8	11.175
3	9	4.952
4	0	0.009
4	1	0.008
4	2	0.235
4	3	0.007
4	5	0.033
4	6	0.012
4	7	0.032
4	8	0.076
4	9	0.034
5	0	0.272
5	1	0.248
5	2	7.215
5	3	0.21
5	4	30.688
5	6	0.368
5	7	0.979
5	8	2.344
5	9	1.039
6	0	0.74
6	1	0.674
6	2	19.621
6	3	0.57
6	4	83.455
6	5	2.719
6	7	2.663
6	8	6.373
6	9	2.824
7	0	0.278
7	1	0.253
7	2	7.368
7	3	0.214
7	4	31.339
7	5	1.021
7	6	0.376
7	8	2.393
7	9	1.061
8	0	0.116
8	1	0.106
8	2	3.079
8	3	0.089
8	4	13.095
8	5	0.427
8	6	0.157
8	7	0.418
8	9	0.443
9	0	0.262
9	1	0.239
9	2	6.947
9	3	0.202
9	4	29.548
9	5	0.963
9	6	0.354
9	7	0.943
9	8	2.256
